Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,2,Science,1,1,2,Female,3,2,Sales Executive,4,Single,59930,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
49,No,Travel_Frequently,Research & Development,8,1,Science,1,2,3,Male,2,2,Research Scientist,2,Married,51300,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
37,Yes,Travel_Rarely,Research & Development,2,2,Other,1,4,4,Male,2,1,Laboratory Technician,3,Single,20900,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
33,No,Travel_Frequently,Research & Development,3,4,Science,1,5,4,Female,3,1,Research Scientist,3,Married,29090,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
27,No,Travel_Rarely,Research & Development,2,1,Medical,1,7,1,Male,3,1,Laboratory Technician,2,Married,34680,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
32,No,Travel_Frequently,Research & Development,2,2,Science,1,8,4,Male,3,1,Laboratory Technician,4,Single,30680,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6
59,No,Travel_Rarely,Research & Development,3,3,Medical,1,10,3,Female,4,1,Laboratory Technician,1,Married,26700,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0
30,No,Travel_Rarely,Research & Development,24,1,Science,1,11,4,Male,3,1,Laboratory Technician,3,Divorced,26930,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0
38,No,Travel_Frequently,Research & Development,23,3,Science,1,12,4,Male,2,3,Manufacturing Director,3,Single,95260,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8
36,No,Travel_Rarely,Research & Development,27,3,Medical,1,13,3,Male,3,2,Healthcare Representative,3,Married,52370,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7
35,No,Travel_Rarely,Research & Development,16,3,Medical,1,14,1,Male,4,1,Laboratory Technician,2,Married,24260,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
29,No,Travel_Rarely,Research & Development,15,2,Science,1,15,4,Female,2,2,Laboratory Technician,3,Single,41930,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8
31,No,Travel_Rarely,Research & Development,26,1,Science,1,16,1,Male,3,1,Research Scientist,3,Divorced,29110,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
34,No,Travel_Rarely,Research & Development,19,2,Medical,1,18,2,Male,3,1,Laboratory Technician,4,Divorced,26610,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,24,3,Science,1,19,3,Male,2,1,Laboratory Technician,3,Single,20280,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3
29,No,Travel_Rarely,Research & Development,21,4,Science,1,20,2,Female,4,3,Manufacturing Director,1,Divorced,99800,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
32,No,Travel_Rarely,Research & Development,5,2,Science,1,21,1,Male,4,1,Research Scientist,2,Divorced,32980,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
22,No,Non-Travel,Research & Development,16,2,Medical,1,22,4,Male,4,1,Laboratory Technician,4,Divorced,29350,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
53,No,Travel_Rarely,Sales,2,4,Science,1,23,1,Female,2,4,Manager,4,Married,154270,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
38,No,Travel_Rarely,Research & Development,2,3,Science,1,24,4,Male,3,1,Research Scientist,4,Single,39440,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
24,No,Non-Travel,Research & Development,11,2,Other,1,26,1,Female,4,2,Manufacturing Director,3,Divorced,40110,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
36,Yes,Travel_Rarely,Sales,9,4,Science,1,27,3,Male,2,1,Sales Representative,1,Single,34070,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
34,No,Travel_Rarely,Research & Development,7,4,Science,1,28,1,Female,3,3,Research Director,2,Single,119940,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
21,No,Travel_Rarely,Research & Development,15,2,Science,1,30,3,Male,3,1,Research Scientist,4,Single,12320,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,1,Medical,1,31,2,Male,3,1,Research Scientist,1,Single,29600,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3
53,No,Travel_Rarely,Research & Development,5,3,Other,1,32,3,Female,3,5,Manager,3,Divorced,190940,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8
32,Yes,Travel_Frequently,Research & Development,16,1,Science,1,33,2,Female,1,1,Research Scientist,1,Single,39190,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7
42,No,Travel_Rarely,Sales,8,4,Marketing,1,35,3,Male,3,2,Sales Executive,2,Married,68250,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2
44,No,Travel_Rarely,Research & Development,7,4,Medical,1,36,1,Female,2,3,Healthcare Representative,4,Married,102480,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17
46,No,Travel_Rarely,Sales,2,4,Marketing,1,38,2,Female,3,5,Manager,1,Single,189470,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,3,Medical,1,39,3,Male,3,1,Laboratory Technician,4,Single,24960,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0
44,No,Travel_Rarely,Research & Development,10,4,Other,1,40,4,Male,3,2,Healthcare Representative,4,Married,64650,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3
30,No,Travel_Rarely,Research & Development,9,2,Medical,1,41,4,Male,2,1,Laboratory Technician,3,Single,22060,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,1,42,4,Male,3,2,Sales Representative,4,Married,20860,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,1,45,2,Male,3,1,Research Scientist,4,Married,22930,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0
43,No,Travel_Rarely,Research & Development,2,2,Medical,1,46,4,Female,4,1,Research Scientist,3,Divorced,26450,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4
50,Yes,Travel_Rarely,Sales,3,2,Marketing,1,47,1,Male,2,1,Sales Representative,3,Married,26830,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2
35,No,Travel_Rarely,Sales,2,3,Marketing,1,49,4,Female,3,1,Sales Representative,4,Married,20140,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
